Epot;Ekin;Etot
-3342.9;0.118221;-3342.78
-3362.98;20.1761;-3342.8
-3364.18;21.3903;-3342.79
-3364.2;21.4049;-3342.79
-3351.25;8.46886;-3342.78
-3350.61;7.82537;-3342.79
-3355.22;12.4259;-3342.79
-3359.41;16.6229;-3342.79
-3364.25;21.4583;-3342.8
-3359.32;16.5203;-3342.8
-3355.53;12.7324;-3342.8
-3357.53;14.729;-3342.8
-3360.4;17.6018;-3342.8
-3361.72;18.9275;-3342.8
-3358.56;15.7649;-3342.79
-3356.56;13.7663;-3342.79
-3354.35;11.5583;-3342.79
-3351.84;9.05136;-3342.79
-3357.99;15.2019;-3342.79
-3360.12;17.3277;-3342.79
-3363.75;20.9542;-3342.8
-3357.48;14.6746;-3342.8
-3352.46;9.66292;-3342.79
-3359.76;16.9635;-3342.8
-3362.45;19.6648;-3342.79
-3360.87;18.0823;-3342.79
-3351.28;8.49286;-3342.79
-3352.88;10.0839;-3342.79
-3354.35;11.5544;-3342.79
-3363.28;20.4801;-3342.8
-3365.12;22.3184;-3342.8
-3353.94;11.1449;-3342.8
-3357.8;14.9876;-3342.82
-3355.43;12.6357;-3342.8
-3367.37;24.5677;-3342.81
-3357.61;14.8166;-3342.79
-3358.32;15.5246;-3342.8
-3353.86;11.0699;-3342.79
-3352.27;9.48373;-3342.79
-3357.26;14.4666;-3342.79
-3361.44;18.6485;-3342.79
-3361.74;18.9434;-3342.8
-3354.64;11.8454;-3342.8
-3356.09;13.2917;-3342.8
-3360.66;17.8519;-3342.8
-3363.49;20.6837;-3342.8
-3358.81;16.0177;-3342.79
-3354.09;11.3046;-3342.79
-3351.65;8.85921;-3342.79
-3357.21;14.4114;-3342.8
-3358.63;15.8339;-3342.8
-3361.06;18.2617;-3342.8
-3362.37;19.5634;-3342.81
-3351.61;8.81202;-3342.79
-3359.17;16.3648;-3342.81
-3358.62;15.8199;-3342.8
-3362.19;19.3902;-3342.8
-3358.17;15.3741;-3342.8
-3357.52;14.7187;-3342.8
-3350.33;7.54888;-3342.78
-3355.92;13.1245;-3342.79
-3362.53;19.7352;-3342.8
-3359.53;16.7226;-3342.8
-3360.28;17.4712;-3342.81
-3355.59;12.784;-3342.8
-3354.83;12.0317;-3342.79
-3361.78;18.9777;-3342.8
-3360.71;17.913;-3342.79
-3355.22;12.4274;-3342.79
-3355.69;12.8932;-3342.8
-3354.1;11.3014;-3342.79
-3357.19;14.3898;-3342.8
-3361.07;18.2704;-3342.8
-3360.32;17.5208;-3342.8
-3356.84;14.0332;-3342.81
-3361.73;18.9127;-3342.82
-3360.78;17.9687;-3342.81
-3359.58;16.7853;-3342.8
-3361.35;18.5442;-3342.8
-3355.31;12.5108;-3342.8
-3354.83;12.0363;-3342.8
-3354.51;11.7219;-3342.79
-3358.68;15.8837;-3342.8
-3363.85;21.0378;-3342.81
-3357.86;15.0645;-3342.8
-3355.42;12.6183;-3342.8
-3357.13;14.3307;-3342.8
-3357;14.2096;-3342.79
-3363.13;20.3286;-3342.8
-3358.68;15.8882;-3342.8
-3356.78;13.9826;-3342.79
-3353.02;10.2248;-3342.79
-3354.81;12.0134;-3342.79
-3360.67;17.8689;-3342.8
-3362.29;19.4883;-3342.8
-3359.09;16.2928;-3342.8
-3357.41;14.6008;-3342.81
-3354.64;11.8404;-3342.8
-3361.72;18.9259;-3342.8
-3360;17.203;-3342.8
