Etot;T
-23080.4;600.842
-23066.9;608.796
-23053.6;614.698
-23040.2;621.641
-23026.5;627.661
-23012.8;635.927
-22999.3;642.109
-22985.9;646.501
-22972.4;654.016
-22958.7;661.534
-22944.9;667.73
-22931.4;675.634
-22917.8;681.683
-22904;687.999
-22890.3;693.677
-22877.2;701.274
-22863.9;706.996
-22850;711.389
-22836.1;719.057
-22823;724.55
-22809.4;728.892
-22796.2;737.266
-22782.8;740.309
-22769.5;749.025
-22756.2;752.653
-22742.6;759.899
-22728.8;763.397
-22715.5;769.14
-22702;775.493
-22688.9;776.327
-22675.6;782.102
-22661.8;784.108
-22649;789.785
-22635.2;793.943
-22621.6;795.131
-22607.9;803.768
-22594.7;807.27
-22581;811.535
-22567.6;810.657
-22553.9;819.629
-22540.2;817.292
-22527.1;817.713
-22513.3;818.957
-22499.9;819.792
-22486;822.059
-22472.6;822.689
-22459.1;821.22
-22445.6;822.156
-22432.2;820.94
-22419.3;824.722
-22405.6;830.68
-22392.6;833.042
-22379.1;829.83
-22365.7;829.028
-22352.6;829.509
-22339.1;832.875
-22325.5;828.132
-22312.2;834.22
-22299.2;835.94
-22286;836.753
-22273.1;844.772
-22259.8;842.817
-22246.8;845.084
-22232.7;846.1
-22219.6;838.775
-22205.6;846.922
-22192.2;843.109
-22178.9;846.109
-22165.4;846.316
-22152;846.06
-22139.1;848.836
-22126.2;847.517
-22112.5;846.974
-22099.2;846.31
-22085.2;847.061
-22072.6;858.492
-22058.8;857.883
-22045.3;865.203
-22032.1;872.307
-22018.6;882.269
-22005.1;886.011
-21991.4;889.907
-21978.4;895.533
-21964.7;901.716
-21950.9;907.168
-21937.6;909.921
-21924.1;919.333
-21910.3;925.87
-21896.5;932.578
-21882.7;933.354
-21869.3;939.79
-21854.8;944.494
-21841.5;950.702
-21828.2;955.694
-21814.9;964.656
-21801.5;969.726
-21788.1;977.218
-21774.3;976.897
-21760.4;981.96
-21747.4;993.722
-21733.7;1002.75
-21720.5;1004.47
-21706.9;1007.15
-21692.7;1014.15
-21679.2;1023.68
-21665.8;1023.27
