strain;force_lg;area
0;1.91309;2118.09
0.00349074;2.55447;2118.09
0.00698149;4.31252;2118.09
0.0104722;6.29218;2118.09
0.013963;7.25935;2118.09
0.0174537;8.60698;2118.09
0.0209445;9.66002;2118.09
0.0244352;10.6283;2118.09
0.0279259;11.5155;2118.09
0.0314167;12.3523;2118.09
0.0349074;13.0727;2118.09
0.0383982;13.7137;2118.09
0.0418889;14.2852;2118.09
0.0453797;14.7839;2118.09
0.0488704;15.2153;2118.09
0.0523611;15.5835;2118.09
0.0558519;15.8919;2118.09
0.0593426;16.1413;2118.09
0.0628334;16.335;2118.09
0.0663241;16.4759;2118.09
0.0698149;16.5658;2118.09
0.0733056;16.6073;2118.09
0.0767963;16.6015;2118.09
0.0802871;16.4964;2118.09
0.0837778;16.0724;2118.09
0.0872686;14.4764;2118.09
0.0907593;10.4576;2118.09
0.0942501;6.69278;2118.09
0.0977408;6.39853;2118.09
0.101232;5.64946;2118.09
0.104722;7.59247;2118.09
0.108213;8.17711;2118.09
0.111704;8.67481;2118.09
0.115195;8.8305;2118.09
0.118685;9.32572;2118.09
0.122176;9.36489;2118.09
0.125667;9.05724;2118.09
0.129157;9.13911;2118.09
0.132648;9.01637;2118.09
0.136139;9.32165;2118.09
0.13963;9.40935;2118.09
0.14312;9.89828;2118.09
0.146611;8.64088;2118.09
0.150102;9.38094;2118.09
0.153593;9.89938;2118.09
0.157083;10.2746;2118.09
0.160574;10.0429;2118.09
0.164065;11.1511;2118.09
0.167556;11.736;2118.09
0.171046;11.9811;2118.09
0.174537;12.2845;2118.09
0.178028;12.3777;2118.09
0.181519;13.0166;2118.09
0.185009;13.2277;2118.09
0.1885;13.0997;2118.09
0.191991;12.1069;2118.09
0.195482;12.2087;2118.09
0.198972;12.2483;2118.09
0.202463;11.8956;2118.09
0.205954;10.9637;2118.09
0.209445;12.5942;2118.09
0.212935;12.4631;2118.09
0.216426;11.9268;2118.09
