strain;force_lg;area
0;-0.334665;1656.52
0.00210046;-0.354184;1656.52
0.00420091;-0.472898;1656.52
0.00630137;0.346342;1656.52
0.00840182;1.15243;1656.52
0.0105023;1.52721;1656.52
0.0126027;2.99958;1656.52
0.0147032;2.38573;1656.52
0.0168036;4.26073;1656.52
0.0189041;3.14803;1656.52
0.0210046;2.53753;1656.52
0.023105;3.49769;1656.52
0.0252055;5.94879;1656.52
0.0273059;3.15298;1656.52
0.0294064;5.59332;1656.52
0.0315068;5.10172;1656.52
0.0336073;4.64873;1656.52
0.0357077;5.43849;1656.52
0.0378082;5.10723;1656.52
0.0399087;4.41735;1656.52
0.0420091;3.46137;1656.52
0.0441096;6.52861;1656.52
0.04621;4.6327;1656.52
0.0483105;4.42019;1656.52
0.0504109;7.45954;1656.52
0.0525114;5.17402;1656.52
0.0546118;5.18534;1656.52
0.0567123;5.68747;1656.52
0.0588128;4.44021;1656.52
0.0609132;6.0769;1656.52
0.0630137;7.43995;1656.52
0.0651141;6.25841;1656.52
0.0672146;5.22469;1656.52
0.069315;4.05505;1656.52
0.0714155;5.57851;1656.52
0.0735159;5.26976;1656.52
0.0756164;5.13927;1656.52
0.0777169;4.86771;1656.52
0.0798173;7.41991;1656.52
0.0819178;6.2345;1656.52
0.0840182;5.35991;1656.52
0.0861187;6.78833;1656.52
0.0882191;5.12373;1656.52
0.0903196;4.74242;1656.52
0.09242;5.03378;1656.52
0.0945205;7.35591;1656.52
0.096621;6.65898;1656.52
0.0987214;6.65637;1656.52
0.100822;5.69248;1656.52
0.102922;6.78651;1656.52
0.105023;3.13371;1656.52
0.107123;4.5322;1656.52
0.109224;3.51115;1656.52
0.111324;4.97833;1656.52
0.113425;3.29943;1656.52
0.115525;2.77128;1656.52
0.117626;3.15398;1656.52
0.119726;4.27213;1656.52
0.121826;4.41087;1656.52
0.123927;2.13336;1656.52
0.126027;0.292203;1656.52
0.128128;2.74267;1656.52
0.130228;0.638362;1656.52
0.132329;3.58392;1656.52
0.134429;2.57361;1656.52
0.13653;1.87287;1656.52
0.13863;4.17209;1656.52
0.140731;3.35624;1656.52
0.142831;2.82329;1656.52
0.144931;0.1603;1656.52
0.147032;3.20034;1656.52
0.149132;0.347808;1656.52
0.151233;3.40367;1656.52
0.153333;3.23571;1656.52
0.155434;3.73369;1656.52
0.157534;2.09429;1656.52
0.159635;4.22362;1656.52
0.161735;4.82532;1656.52
0.163836;2.63433;1656.52
0.165936;3.98881;1656.52
0.168036;3.99906;1656.52
0.170137;4.11685;1656.52
0.172237;2.17989;1656.52
0.174338;1.17992;1656.52
0.176438;1.34014;1656.52
0.178539;1.86499;1656.52
0.180639;-1.27251;1656.52
0.18274;0.252247;1656.52
0.18484;2.86624;1656.52
0.186941;2.25157;1656.52
0.189041;-0.225822;1656.52
0.191141;2.09791;1656.52
0.193242;1.91709;1656.52
0.195342;1.9027;1656.52
0.197443;1.72011;1656.52
0.199543;-0.29855;1656.52
0.201644;4.79763;1656.52
0.203744;3.61433;1656.52
0.205845;1.0374;1656.52
0.207945;3.77608;1656.52
0.210046;0.741681;1656.52
0.212146;4.01451;1656.52
0.214246;0.799935;1656.52
0.216347;1.35545;1656.52
